SYMBOL,GID,GENENAME,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
GALNT2,104828759,polypeptide N-acetylgalactosaminyltransferase 2,308.3713489,-1.123947065,0.374665875,-2.99986505,0.002700992,0.038969875
MAP3K15,104834142,mitogen-activated protein kinase kinase kinase 15,288.2793267,-1.125617505,0.364784556,-3.085704938,0.002030702,0.034900207
RERE,104838024,arginine-glutamic acid dipeptide repeats protein,730.990958,-1.128480591,0.395352276,-2.85436726,0.004312265,0.048457694
CERK,104840134,ceramide kinase,118.2441435,-1.132172291,0.357356075,-3.168190971,0.001533907,0.030269487
INPP5F,104830031,phosphatidylinositide phosphatase SAC2 isoform X1,147.3180055,-1.151002116,0.37716871,-3.05169036,0.002275567,0.03701122
SLC12A7,104837594,solute carrier family 12 member 7 isoform X1,600.8509789,-1.156303031,0.383788822,-3.012862714,0.00258796,0.038438581
LOC104836720,104836720,"fructose-2,6-bisphosphatase TIGAR",56.61504481,-1.158851588,0.383454657,-3.022134601,0.002509989,0.037935866
PPIP5K2,104830256,inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2 isoform X1,176.323288,-1.16055269,0.353889035,-3.279425404,0.001040187,0.025357268
TCHP,104840949,trichoplein keratin filament-binding protein,46.79555853,-1.163204543,0.409884977,-2.837880399,0.00454142,0.049478964
USP12,104834965,ubiquitin carboxyl-terminal hydrolase 12,116.8806645,-1.165196265,0.389640314,-2.990440727,0.002785752,0.039382444
OXCT1,104843089,"succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial",275.7621655,-1.16818358,0.3919205,-2.980664652,0.002876236,0.039994065
KIAA0196,104837663,WASH complex subunit strumpellin,108.1634829,-1.168700411,0.380714749,-3.069753438,0.002142356,0.036111051
RASSF2,104828883,ras association domain-containing protein 2,128.0322287,-1.187270682,0.404920198,-2.932110293,0.003366672,0.042975715
SKIL,104835084,LOW QUALITY PROTEIN: ski-like protein,93.07239576,-1.190993667,0.34967966,-3.405956376,0.000659327,0.02063554
TBC1D5,104843129,TBC1 domain family member 5,757.928683,-1.195436892,0.394576451,-3.029671151,0.002448201,0.037631361
SNX24,104828194,sorting nexin-24,251.2515484,-1.195766247,0.317418775,-3.767156643,0.000165117,0.011183159
LOC104836682,104836682,C-type lectin domain family 4 member E-like isoform X1,159.2622363,-1.196173318,0.416674711,-2.870760543,0.004094856,0.047908447
PSTPIP2,104841365,proline-serine-threonine phosphatase-interacting protein 2,188.0647112,-1.198213963,0.381661478,-3.139467914,0.001692549,0.031506886
CCDC62,104840907,coiled-coil domain-containing protein 62 isoform X1,62.30424509,-1.205581986,0.414799929,-2.906418015,0.003655927,0.044764888
SRBD1,104837396,S1 RNA-binding domain-containing protein 1,353.873457,-1.207329127,0.384825395,-3.137342658,0.001704868,0.031596286
RELL1,104836084,RELT-like protein 1,82.87801926,-1.212138086,0.404384649,-2.997487882,0.002722147,0.039021528
CTNNA1,104839049,catenin alpha-1,466.2823263,-1.229521696,0.359926423,-3.416036213,0.000635398,0.020259167
UNC13D,104839179,protein unc-13 homolog D,223.7812052,-1.235409614,0.405014622,-3.050283981,0.002286251,0.03701122
ITPRIP,104830082,"inositol 1,4,5-trisphosphate receptor-interacting protein",192.0859664,-1.237460009,0.424854965,-2.912664579,0.003583593,0.044448386
FCHSD2,104837481,FCH and double SH3 domains protein 2,497.3792785,-1.251041739,0.36549784,-3.42284304,0.000619698,0.020075799
KIAA0226L,104841641,uncharacterized protein KIAA0226-like homolog,158.9348571,-1.256048574,0.428326258,-2.932457564,0.003362909,0.042975715
SHB,104830504,SH2 domain-containing adapter protein B,205.3037085,-1.263076372,0.381847752,-3.307800988,0.000940316,0.02442594
LOC104829758,104829758,LOW QUALITY PROTEIN: cornulin-like,33.84312018,-1.266112962,0.418445714,-3.025752013,0.002480156,0.037885644
ZBTB46,104833003,zinc finger and BTB domain-containing protein 46 isoform X1,214.5047512,-1.279668942,0.451607788,-2.833584753,0.00460291,0.049756843
CHAF1B,104839814,chromatin assembly factor 1 subunit B,78.16967039,-1.282774526,0.418044547,-3.068511564,0.00215128,0.036145628
PFKP,104842861,"ATP-dependent 6-phosphofructokinase, platelet type isoform X1",700.1341024,-1.285218913,0.336942744,-3.814354035,0.00013654,0.010398747
NT5C2,104830095,cytosolic purine 5'-nucleotidase,197.1756093,-1.303248564,0.434151154,-3.001831392,0.002683608,0.038825565
PHF21A,104839681,PHD finger protein 21A isoform X1,564.0372362,-1.304394351,0.376110024,-3.468119087,0.000524115,0.018943784
LRRK2,104840262,leucine-rich repeat serine/threonine-protein kinase 2,406.5876213,-1.307852885,0.37602148,-3.478133448,0.000504918,0.01863415
TMEM154,104843281,transmembrane protein 154 isoform X1,171.1970846,-1.309390099,0.413537002,-3.166319081,0.001543813,0.030407921
PGK1,104832706,phosphoglycerate kinase 1,436.6114471,-1.311919403,0.439030252,-2.988220962,0.002806066,0.039465059
DOK1,104832336,docking protein 1,59.96239505,-1.315663521,0.448734257,-2.931943573,0.003368479,0.042975715
NOTCH2,104840277,neurogenic locus notch homolog protein 2,302.5304083,-1.316015036,0.415283464,-3.168956027,0.001529875,0.030269487
P2RX6,104829229,P2X purinoceptor 6,56.80429527,-1.323663134,0.466450462,-2.837735713,0.004543479,0.049478964
SKI,104837968,ski oncogene,734.4730732,-1.323710852,0.418852112,-3.1603299,0.001575906,0.030543607
PIK3R5,104839240,phosphoinositide 3-kinase regulatory subunit 5 isoform X1,546.7503199,-1.328416986,0.457494081,-2.903681251,0.003688034,0.045000864
FAM117B,104832770,protein FAM117B,82.79223347,-1.328848366,0.428479297,-3.101312892,0.001926646,0.033661896
LOC104832836,104832836,histone H2B 1/2/3/4/6 isoform X1,32.26430308,-1.333855461,0.330675913,-4.03372429,5.49E-05,0.006964364
TJP2,104832417,tight junction protein ZO-2 isoform X1,130.7446736,-1.336622548,0.466454184,-2.86549589,0.004163567,0.048093582
ENO1,104837922,alpha-enolase,457.4082387,-1.338345694,0.457477422,-2.925490152,0.003439141,0.043372759
CHN2,104843116,beta-chimaerin isoform X1,457.7748504,-1.338640501,0.38112824,-3.512309928,0.00044423,0.017713795
ZHX2,104837682,zinc fingers and homeoboxes protein 2,85.06720057,-1.344019921,0.447299416,-3.004743294,0.002658051,0.038633415
DGKH,104837388,diacylglycerol kinase eta isoform X1,394.444817,-1.347810793,0.449106059,-3.001096881,0.00269009,0.038865883
ERO1L,104839525,ERO1-like protein alpha,353.4020159,-1.351703524,0.413591253,-3.268211102,0.001082296,0.025696592
FRMD4B,104833799,FERM domain-containing protein 4B,378.4516324,-1.353415403,0.310423508,-4.359899843,1.30E-05,0.003717307
SNTB1,104837683,beta-1-syntrophin,847.1583625,-1.357151071,0.428795155,-3.165033593,0.00155065,0.030485498
LOC104827837,104827837,mitogen-activated protein kinase kinase kinase 3-like,300.9512948,-1.358822838,0.425330514,-3.194745716,0.001399541,0.029034263
MAP7D3,104834832,MAP7 domain-containing protein 3 isoform X1,152.6808816,-1.368011442,0.443182587,-3.08678969,0.002023307,0.034887118
ISM1,104836297,isthmin-1,167.654127,-1.377201271,0.435971927,-3.158921903,0.001583539,0.030554106
ABHD3,104836011,abhydrolase domain-containing protein 3 isoform X1,108.3412246,-1.381250126,0.368589969,-3.74738935,0.000178685,0.011553396
LOC104838007,104838007,EF-hand domain-containing protein D1-like,36.03296881,-1.383914844,0.479480431,-2.886280135,0.00389825,0.046487296
ZNF277,104835829,zinc finger protein 277,95.08128472,-1.384123827,0.478044691,-2.895385838,0.003786927,0.045677641
NCF2,104840011,neutrophil cytosol factor 2,152.0717115,-1.387797483,0.371809043,-3.732554405,0.000189548,0.011796823
IQGAP1,104834664,ras GTPase-activating-like protein IQGAP1,525.4012433,-1.395138532,0.470114377,-2.967657661,0.003000783,0.040789482
LOC104829553,104829553,uncharacterized protein LOC104829553,36.24688134,-1.396279807,0.487284338,-2.865431328,0.004164416,0.048093582
SNX18,104829363,sorting nexin-18,95.75595859,-1.3980416,0.464256006,-3.011359215,0.00260081,0.038438581
PTK2B,104841481,protein-tyrosine kinase 2-beta isoform X1,290.5734907,-1.401887047,0.425193748,-3.297054707,0.000977045,0.024802429
GNG7,104829110,guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-7 isoform X1,392.9833724,-1.404342164,0.429260981,-3.271534627,0.001069655,0.02558928
AGTPBP1,104832456,cytosolic carboxypeptidase 1 isoform X1,570.4980559,-1.404661569,0.441281923,-3.183138704,0.001456878,0.029496907
NEDD9,104835305,enhancer of filamentation 1,158.8803519,-1.405282492,0.395631897,-3.551994926,0.000382322,0.016616799
STIM2,104837625,stromal interaction molecule 2 isoform X1,98.90431017,-1.405328724,0.466354229,-3.013436219,0.002583073,0.038434449
ETS2,104839803,protein C-ets-2,207.3411121,-1.405962687,0.490737729,-2.864998153,0.004170117,0.048093582
HNRNPLL,104828643,heterogeneous nuclear ribonucleoprotein L-like,207.2745613,-1.407977335,0.439915509,-3.20056308,0.001371593,0.028795249
UTRN,104842271,utrophin isoform X1,1561.209738,-1.410999826,0.480678104,-2.935436034,0.003330793,0.042902091
STEAP4,104836224,LOW QUALITY PROTEIN: metalloreductase STEAP4,147.6612331,-1.416662057,0.467441864,-3.03067005,0.002440117,0.037631361
SLC37A3,104830977,sugar phosphate exchanger 3,70.88664471,-1.416846675,0.476967975,-2.970527897,0.002972884,0.040661631
CCDC149,104837639,coiled-coil domain-containing protein 149,131.8096866,-1.417831468,0.494026958,-2.869947569,0.004105399,0.047978426
STOX2,104833380,storkhead-box protein 2,231.922155,-1.423239178,0.495520128,-2.872212644,0.004076086,0.04774195
SLC24A1,104834603,sodium/potassium/calcium exchanger 1,53.69179403,-1.427548694,0.499123557,-2.860110836,0.00423493,0.048154584
PAK3,104832701,serine/threonine-protein kinase PAK 3 isoform X1,128.5391986,-1.427666483,0.482343686,-2.959853161,0.003077857,0.041291965
FAM172A,104838343,protein FAM172A isoform X1,480.3418372,-1.427726231,0.442143178,-3.229103835,0.001241788,0.02749989
BZW2,104838091,basic leucine zipper and W2 domain-containing protein 2 isoform X1,116.1859299,-1.427914472,0.493867606,-2.891290004,0.003836639,0.046065947
FAM126A,104838071,hyccin,171.6029982,-1.428259994,0.423720694,-3.370758176,0.000749616,0.022209758
SPI1,104839703,transcription factor PU.1,226.840733,-1.428320023,0.489516253,-2.917819411,0.003524884,0.044195557
SERPINE2,104832224,glia-derived nexin isoform X1,101.7846196,-1.438629708,0.442717696,-3.249541908,0.00115591,0.026645708
LOC104834777,104834777,V-set and immunoglobulin domain-containing protein 4-like isoform X1,236.9647383,-1.43895796,0.449275831,-3.202838567,0.001360802,0.028683205
ACYP2,104836338,acylphosphatase-2,99.4204665,-1.439912304,0.490553803,-2.935279054,0.003332478,0.042902091
ADORA2B,104835613,adenosine receptor A2b,143.2646389,-1.443146484,0.438010391,-3.294776824,0.000984999,0.024802429
LOC104833279,104833279,receptor-type tyrosine-protein phosphatase T-like,134.0859721,-1.448052741,0.495269423,-2.923767698,0.003458227,0.043561238
AKAP13,104834567,A-kinase anchor protein 13 isoform X1,566.5945277,-1.451131056,0.480958141,-3.01716705,0.002551492,0.038342695
PHACTR2,104836416,phosphatase and actin regulator 2,1031.336318,-1.455707083,0.397530112,-3.661878786,0.000250372,0.013787519
PGM2,104836085,phosphoglucomutase-2,52.33899869,-1.456301892,0.484227503,-3.007474551,0.002634282,0.038586751
ELOVL5,104827825,elongation of very long chain fatty acids protein 5,113.971028,-1.457923725,0.501183108,-2.908964213,0.003626284,0.044661887
CD44,104843219,CD44 antigen,425.6199101,-1.470102637,0.468017901,-3.141124802,0.001683003,0.031386215
GPR137B,104828731,integral membrane protein GPR137B isoform X1,195.3800435,-1.470979131,0.511977457,-2.873132618,0.004064235,0.04765621
RCN2,104834691,reticulocalbin-2,40.2473716,-1.475011886,0.500682604,-2.946001867,0.003219105,0.042584091
TLE4,104832444,transducin-like enhancer protein 4,519.8564231,-1.478271884,0.471731374,-3.133715426,0.001726082,0.031850749
CHD7,104841326,chromodomain-helicase-DNA-binding protein 7,397.8650944,-1.492715029,0.340400116,-4.385177793,1.16E-05,0.003693765
RGS6,104831118,regulator of G-protein signaling 6,383.0328834,-1.493805514,0.426308799,-3.504045701,0.000458247,0.017765436
PDXK,104839770,pyridoxal kinase,406.0232546,-1.494531147,0.448143335,-3.334940028,0.000853178,0.023468115
ZNF516,104838279,zinc finger protein 516,241.676405,-1.495177034,0.51036719,-2.929610414,0.003393872,0.043094847
NUP93,104842191,nuclear pore complex protein Nup93 isoform X1,208.5843304,-1.496575091,0.523236193,-2.86022854,0.004233358,0.048154584
RGS2,104832044,regulator of G-protein signaling 2,73.37029689,-1.497543378,0.527118632,-2.84099876,0.004497249,0.049478964
RUFY3,104836766,protein RUFY3 isoform X1,158.8767228,-1.499984577,0.464813926,-3.227064626,0.001250672,0.027635649
ATP1A1,104831705,sodium/potassium-transporting ATPase subunit alpha-1,356.3679234,-1.502668002,0.491659984,-3.056315445,0.002240754,0.036710667
ITGAV,104841535,integrin alpha-V,231.8257683,-1.508650889,0.342655221,-4.402824753,1.07E-05,0.003693765
MAST3,104828559,microtubule-associated serine/threonine-protein kinase 3,143.8620148,-1.50892857,0.441731829,-3.415938065,0.000635627,0.020259167
HK1,104839582,hexokinase-1,179.916573,-1.508980334,0.425936198,-3.54273795,0.000395996,0.016872054
ARHGEF2,104830535,rho guanine nucleotide exchange factor 2 isoform X1,94.97879162,-1.512804666,0.483976138,-3.125783584,0.00177332,0.032047732
TTC28,104840814,tetratricopeptide repeat protein 28,490.7797371,-1.513355145,0.531488695,-2.847389153,0.004407944,0.049009257
AUH,104832517,"methylglutaconyl-CoA hydratase, mitochondrial",199.0509237,-1.51419842,0.499049786,-3.034163047,0.00241204,0.037598709
PLCL2,104843128,inactive phospholipase C-like protein 2,207.7868678,-1.514409878,0.44314696,-3.417398771,0.000632226,0.020259167
NABP1,104829636,SOSS complex subunit B2 isoform X1,97.89987278,-1.515862806,0.456756386,-3.318755582,0.000904195,0.023890181
LOC104829545,104829545,L-lactate dehydrogenase A chain,816.8983434,-1.516742601,0.531903552,-2.85153689,0.004350844,0.048683164
SAMSN1,104831573,SAM domain-containing protein SAMSN-1,303.7192509,-1.516963703,0.449013997,-3.378432998,0.000729002,0.021845135
LOC104834727,104834727,hepatoma-derived growth factor-related protein 3,51.72297359,-1.518690995,0.511829082,-2.967183867,0.003005412,0.040789482
HIF1A,104842070,hypoxia-inducible factor 1-alpha,314.5613667,-1.523958373,0.469961868,-3.242727711,0.001183913,0.02695324
ATP11A,104836876,probable phospholipid-transporting ATPase IH,573.5088317,-1.524507581,0.421721623,-3.614961858,0.000300392,0.014958349
SLC9A9,104832301,sodium/hydrogen exchanger 9,896.8765809,-1.525316008,0.4898244,-3.114005773,0.001845659,0.032750277
DENND1B,104829288,DENN domain-containing protein 1B,522.6153775,-1.529925101,0.487687822,-3.137099249,0.001706284,0.031596286
GAPDH,104831751,glyceraldehyde-3-phosphate dehydrogenase,700.1036578,-1.53181621,0.540348771,-2.834865725,0.004584495,0.04971105
PIEZO1,104839423,piezo-type mechanosensitive ion channel component 1,99.15196879,-1.532141743,0.529649796,-2.892744891,0.003818913,0.045905521
TMEM181,104840697,transmembrane protein 181 isoform X1,54.91390707,-1.532650366,0.509251168,-3.009615811,0.002615783,0.038516532
RNASET2,104839542,ribonuclease T2 isoform X1,102.5866579,-1.533751764,0.538531656,-2.848025268,0.004399143,0.048963162
TMEM55A,104828362,"type 2 phosphatidylinositol 4,5-bisphosphate 4-phosphatase",80.68799508,-1.535915829,0.481110814,-3.192436721,0.001410779,0.029042436
RFX2,104828546,DNA-binding protein RFX2 isoform X1,188.1425065,-1.538814457,0.527216428,-2.918752859,0.003514347,0.044162371
FGR,104837205,tyrosine-protein kinase Fgr isoform X1,49.02884997,-1.540839277,0.488817429,-3.15217745,0.001620578,0.030873732
ELMSAN1,104839640,ELM2 and SANT domain-containing protein 1,99.0421945,-1.541278314,0.543209411,-2.837355693,0.00454889,0.049478964
RXRA,104833856,retinoic acid receptor RXR-alpha isoform X1,399.9854737,-1.541310283,0.523390848,-2.944855246,0.003231058,0.042606366
HCK,104832964,tyrosine-protein kinase HCK,75.09153234,-1.542204783,0.504789238,-3.055145926,0.00224951,0.036739675
LOC104836663,104836663,oxidized low-density lipoprotein receptor 1-like,82.37267937,-1.543086609,0.426838652,-3.615152009,0.000300171,0.014958349
FNDC3B,104835092,fibronectin type III domain-containing protein 3B,623.0565158,-1.54322133,0.534198079,-2.888856008,0.003866461,0.046212994
SESTD1,104830743,SEC14 domain and spectrin repeat-containing protein 1,149.0969792,-1.543899237,0.488815172,-3.158451955,0.001586095,0.030554106
GALC,104841961,galactocerebrosidase,148.2554604,-1.548305894,0.452286357,-3.423286753,0.000618688,0.020075799
LRRFIP1,104838250,leucine-rich repeat flightless-interacting protein 1 isoform X1,608.9388039,-1.549336508,0.47283984,-3.276662362,0.001050419,0.025357268
WDFY3,104837220,WD repeat and FYVE domain-containing protein 3 isoform X1,855.2780351,-1.552412755,0.395009064,-3.93006869,8.49E-05,0.008612083
IRAK4,104835850,interleukin-1 receptor-associated kinase 4,43.59731656,-1.553286962,0.443370178,-3.503363641,0.000459422,0.017765436
MGST1,104830906,microsomal glutathione S-transferase 1 isoform X1,93.99204949,-1.553666964,0.492188338,-3.156651312,0.001595921,0.03068719
GPI,104842637,glucose-6-phosphate isomerase,286.7439002,-1.553778106,0.416523072,-3.730353032,0.000191212,0.011806392
LOC104829692,104829692,uncharacterized protein LOC104829692,21.22162048,-1.556218426,0.519265034,-2.996963637,0.002726832,0.039021528
LOC104833101,104833101,uncharacterized LOC104833101,209.554048,-1.556567194,0.424001078,-3.671139706,0.000241471,0.013581792
HIVEP3,104837232,transcription factor HIVEP3,196.6223182,-1.556625296,0.545334553,-2.85444098,0.004311264,0.048457694
RAB32,104842276,ras-related protein Rab-32,127.6848558,-1.556974216,0.511766175,-3.042354677,0.002347351,0.037238976
RAB20,104836869,ras-related protein Rab-20,107.1825096,-1.558055467,0.547745684,-2.844486984,0.0044483,0.049405726
FGD4,104830955,"FYVE, RhoGEF and PH domain-containing protein 4",318.0966287,-1.558924839,0.37565407,-4.149894717,3.33E-05,0.005607841
CRELD2,104840254,cysteine-rich with EGF-like domain protein 2,77.9061011,-1.560492356,0.44648016,-3.495098992,0.000473886,0.018190995
SLC16A3,104832125,monocarboxylate transporter 4,412.290051,-1.561063254,0.40165032,-3.886622708,0.000101649,0.009285989
CCDC88C,104841860,protein Daple,374.9208806,-1.563169847,0.549940047,-2.842436838,0.00447701,0.049478964
B4GALT5,104833212,"beta-1,4-galactosyltransferase 5",102.8446747,-1.569453513,0.54223486,-2.894416478,0.00379864,0.045766427
MPZL1,104831598,LOW QUALITY PROTEIN: myelin protein zero-like protein 1,101.7011509,-1.571483953,0.500100339,-3.142337308,0.001676048,0.031312035
LOC104831221,104831221,cytosolic 5'-nucleotidase 1B-like,74.74109298,-1.571551777,0.489147464,-3.21283844,0.001314302,0.028343144
IL1RAP,104835187,interleukin-1 receptor accessory protein isoform X1,839.1464065,-1.571589277,0.435604139,-3.607838254,0.000308759,0.015104771
EGFL7,104833847,epidermal growth factor-like protein 7,88.7306292,-1.576828434,0.455795988,-3.459504859,0.00054117,0.0192298
LOC104839469,104839469,corticosteroid 11-beta-dehydrogenase isozyme 1-like,70.64117924,-1.578336149,0.4169597,-3.785344596,0.000153496,0.010763121
HDAC7,104831131,histone deacetylase 7 isoform X1,375.3787291,-1.579526636,0.396147495,-3.987218537,6.69E-05,0.007659467
ZDHHC13,104829450,palmitoyltransferase ZDHHC13,42.35737169,-1.580429188,0.516972941,-3.057082998,0.002235024,0.036673916
EEPD1,104841146,endonuclease/exonuclease/phosphatase family domain-containing protein 1,433.0292469,-1.581222603,0.395597008,-3.997053999,6.41E-05,0.007659467
PIBF1,104836585,progesterone-induced-blocking factor 1,206.3271038,-1.581390669,0.537746215,-2.940775081,0.003273922,0.042606366
HDX,104834807,highly divergent homeobox,84.71223269,-1.582340984,0.55389941,-2.856729861,0.0042803,0.048440225
FAM129A,104840055,protein Niban,294.3118509,-1.583237073,0.502224365,-3.152449748,0.001619067,0.030873732
DENND3,104842126,DENN domain-containing protein 3,116.5499753,-1.583883209,0.443016169,-3.57522664,0.000349925,0.015728664
CEP170,104828716,centrosomal protein of 170 kDa,200.8503035,-1.584537,0.531763663,-2.979776749,0.002884585,0.039994065
KIAA0895,104841140,uncharacterized protein KIAA0895 homolog isoform X1,73.90912547,-1.587882431,0.465915396,-3.408091781,0.000654189,0.02063554
SWAP70,104829589,switch-associated protein 70,168.727931,-1.592984744,0.486232631,-3.276178198,0.001052221,0.025357268
PLA2G4A,104840028,cytosolic phospholipase A2,439.5203769,-1.595859405,0.424806047,-3.756677702,0.000172184,0.011390135
PYGL,104839470,"glycogen phosphorylase, liver form",70.35439417,-1.596561994,0.549188706,-2.907128236,0.003647636,0.044752903
IL21R,104833674,interleukin-21 receptor,38.59405329,-1.597007182,0.5311104,-3.006921314,0.002639081,0.038586751
ADAMTS5,104842767,A disintegrin and metalloproteinase with thrombospondin motifs 5,298.8840662,-1.603385279,0.420966083,-3.808822954,0.00013963,0.010490194
RALB,104832450,ras-related protein Ral-B,116.4313461,-1.603648493,0.476919646,-3.362512963,0.000772365,0.022373151
LOC104836919,104836919,interleukin-1 receptor type 1-like,94.02220481,-1.607589462,0.482527973,-3.331598481,0.000863487,0.023468115
B3GNTL1,104839231,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase-like protein 1",266.2391164,-1.608817161,0.529468729,-3.038549912,0.002377197,0.037486297
SLC4A7,104842187,sodium bicarbonate cotransporter 3 isoform X1,180.4426075,-1.611838534,0.555742962,-2.900330989,0.003727688,0.045266138
APBB1IP,104840976,amyloid beta A4 precursor protein-binding family B member 1-interacting protein,229.6947786,-1.612399977,0.54942518,-2.934703462,0.003338666,0.042929203
GPR132,104842051,probable G-protein coupled receptor 132,480.7100973,-1.614252963,0.469054464,-3.441504316,0.000578489,0.019903346
DOCK9,104838521,dedicator of cytokinesis protein 9,220.7830886,-1.614382617,0.517366642,-3.12038405,0.001806154,0.032418305
RCOR3,104837367,REST corepressor 3 isoform X1,104.2853616,-1.615884574,0.503462278,-3.209544478,0.001329455,0.028595512
ULK2,104835635,serine/threonine-protein kinase ULK2 isoform X1,92.27137803,-1.617831178,0.536582925,-3.015062727,0.002569261,0.038434449
TBC1D9,104841744,TBC1 domain family member 9 isoform X1,304.8463739,-1.619038571,0.46339396,-3.493870683,0.000476072,0.018208439
DDR1,104833338,epithelial discoidin domain-containing receptor 1,41.77188591,-1.6208981,0.565291059,-2.867369073,0.004139,0.048093582
LOC104835034,104835034,coiled-coil domain-containing protein 169-like,58.4909854,-1.624128064,0.395308795,-4.108504752,3.98E-05,0.005972626
TOX2,104841999,TOX high mobility group box family member 2,309.5600871,-1.62668123,0.553834267,-2.93712637,0.003312691,0.042804524
SBF2,104829509,myotubularin-related protein 13,685.1005168,-1.627290362,0.415976039,-3.911980998,9.15E-05,0.008833394
TJP1,104834447,tight junction protein ZO-1,320.0631602,-1.627291633,0.552727893,-2.944109851,0.00323885,0.042606366
UBE2E1,104842198,ubiquitin-conjugating enzyme E2 E1 isoform X1,167.8843328,-1.632013136,0.458995411,-3.555619722,0.000377089,0.016457361
LOC104828111,104828111,uncharacterized protein C3orf18 homolog isoform X1,39.56473525,-1.632618992,0.556737924,-2.932473111,0.00336274,0.042975715
XYLT1,104833682,xylosyltransferase 1,282.0111658,-1.63403372,0.549198281,-2.975307417,0.002926951,0.040401138
LOC104833281,104833281,uncharacterized protein LOC104833281,58.57927049,-1.635433693,0.426170337,-3.837511787,0.000124287,0.010132359
SNX8,104833557,sorting nexin-8,44.47122241,-1.638512974,0.559682432,-2.92757621,0.003416153,0.043186418
NOTCH1,104833846,neurogenic locus notch homolog protein 1,216.4425139,-1.64086062,0.458683717,-3.577324769,0.000347129,0.015669959
L3MBTL3,104836243,lethal(3)malignant brain tumor-like protein 3,201.380596,-1.64116945,0.573406818,-2.862138013,0.004207936,0.048154584
PRKCE,104837397,protein kinase C epsilon type,740.1677176,-1.641678941,0.558376794,-2.940091634,0.003281152,0.042606366
JADE3,104839881,protein Jade-3,174.8386875,-1.642201362,0.527141997,-3.115292222,0.001837628,0.032750277
TGM1,104835370,protein-glutamine gamma-glutamyltransferase K,23.34205381,-1.642684029,0.498703372,-3.29391001,0.000988041,0.024802429
LOC104829374,104829374,lactosylceramide 4-alpha-galactosyltransferase-like,89.54163568,-1.642743712,0.516122474,-3.182856382,0.001458299,0.029496907
LOC104832800,104832800,S-adenosylmethionine synthase isoform type-2-like,31.96263878,-1.644414235,0.520358283,-3.160157701,0.001576838,0.030543607
LOC104836090,104836090,toll-like receptor 1,58.06850006,-1.645630063,0.511536538,-3.217033273,0.001295236,0.028147293
CCDC57,104832147,coiled-coil domain-containing protein 57,235.6789803,-1.646836464,0.395986734,-4.15881726,3.20E-05,0.005607841
GABRQ,104832637,gamma-aminobutyric acid receptor subunit theta isoform X1,202.7943042,-1.648382403,0.568543841,-2.899305708,0.003739901,0.045266138
RNF144A,104831255,probable E3 ubiquitin-protein ligase RNF144A isoform X1,254.9791511,-1.64861705,0.494182574,-3.336048531,0.000849783,0.023468115
ANTXR2,104836748,anthrax toxin receptor 2 isoform X1,532.770761,-1.649340815,0.473697572,-3.481843505,0.000497975,0.018507764
SPIDR,104836071,DNA repair-scaffolding protein,449.4554137,-1.65243763,0.515636273,-3.204657462,0.001352233,0.028617715
LOC104834853,104834853,endothelial cell-selective adhesion molecule-like,39.7973198,-1.653553449,0.551354011,-2.99907757,0.002707984,0.03901722
FAM49A,104831227,protein FAM49A,367.946216,-1.653843968,0.445033475,-3.716223749,0.000202223,0.01219139
PDSS1,104841039,decaprenyl-diphosphate synthase subunit 1,54.77053039,-1.65455355,0.552664725,-2.99377448,0.002755495,0.03916527
IL5RA,104835276,interleukin-5 receptor subunit alpha,72.82258014,-1.657694532,0.563776902,-2.940337794,0.003278546,0.042606366
TTC39B,104828424,tetratricopeptide repeat protein 39B,97.84398354,-1.662323332,0.520192368,-3.195593465,0.001395436,0.029027664
PLAU,104831907,urokinase-type plasminogen activator,27.84513719,-1.665008702,0.456267574,-3.649193581,0.000263065,0.01416001
NSMCE2,104837662,E3 SUMO-protein ligase NSE2,338.8913206,-1.669523334,0.474158011,-3.521027367,0.000429878,0.017458089
ERMARD,104828774,endoplasmic reticulum membrane-associated RNA degradation protein,46.86254021,-1.670725554,0.43926843,-3.803427332,0.000142708,0.010570432
CNN3,104841163,calponin-3,66.33162148,-1.671488287,0.48167139,-3.470183867,0.000520102,0.018863569
EML6,104836336,echinoderm microtubule-associated protein-like 6 isoform X1,341.2095595,-1.674595207,0.410966169,-4.074776298,4.61E-05,0.006231322
GAS7,104832522,growth arrest-specific protein 7,288.8600446,-1.676127912,0.501791828,-3.340285392,0.000836923,0.023239113
TIMP2,104832127,metalloproteinase inhibitor 2,53.83339262,-1.676146346,0.552826768,-3.031955837,0.002429747,0.037631361
APBA1,104832438,amyloid beta A4 precursor protein-binding family A member 1,63.02620323,-1.681341023,0.53147011,-3.163566476,0.001558488,0.03052546
CSRNP1,104827813,cysteine/serine-rich nuclear protein 1,58.04727084,-1.6819661,0.541105761,-3.108386975,0.001881116,0.033192258
LOC104836746,104836746,acyl-CoA desaturase-like,374.6262835,-1.683332784,0.562825541,-2.990860685,0.002781924,0.039381258
EVI5,104841150,ecotropic viral integration site 5 protein homolog,227.4233575,-1.685383212,0.43906174,-3.838601857,0.000123737,0.010132359
