GeneID,Chr,Start,End,Strand,Length,Eagle_002_lps,Eagle_004_lps,Eagle_006_lps,Eagle_007_lps,Eagle_008_lps,Eagle_012_lps,Eagle_013_lps,Eagle_014_lps,Eagle_015_lps,Eagle_020_lps,Eagle_021_lps,Eagle_022_lps
LOC104843320,NW_010972576.1,12187591,12189764,-,2174,68,154,2,295,34,26,64,64,173,13,100,170
EMCN,NW_010972576.1,12242551,12296356,-,53806,1014,30,0,35,14,3,15,9,28,3,63,18
PPP3CA,NW_010972576.1,12388670,12508308,-,119639,2215,1207,15,604,89,54,194,41,104,56,870,159
BANK1,NW_010972576.1,12691754,12840002,+,148249,2577,216,4,114,18,18,46,14,85,14,182,62
SLC39A8,NW_010972576.1,12881185,12904002,-,22818,400,252,4,25,7,5,22,6,16,3,88,27
NFKB1,NW_010972576.1,12945789,13013215,+,67427,1711,22300,273,18809,2912,1606,5746,3673,11725,1797,13720,11255
MANBA,NW_010972576.1,13011934,13064173,-,52240,1597,29488,524,35695,4566,2287,6050,6029,19021,2611,12127,20151
UBE2D3,NW_010972576.1,13078342,13099915,-,21574,698,16195,358,18214,2599,1891,5218,4864,18236,1475,9048,14444
CISD2,NW_010972576.1,13114937,13149386,+,34450,254,971,9,948,143,95,298,238,906,88,548,703
SLC9B2,NW_010972576.1,13128758,13151622,-,22865,31,22,0,15,1,2,7,2,5,1,12,9
BDH2,NW_010972576.1,13151573,13161160,-,9588,157,65,0,36,6,1,11,2,22,1,44,24
CENPE,NW_010972576.1,13162806,13203353,-,40548,677,191,1,220,33,18,61,30,98,16,160,89
LOC104827796,NW_010972576.1,13204168,13210842,-,6675,147,26,0,25,1,2,1,3,8,0,9,9
LOC104827797,NW_010972576.1,13232214,13233901,-,1688,147,2,0,2,0,8,1,9,42,0,55,34
LOC104827798,NW_010972576.1,13234085,13235247,-,1163,105,2,0,5,0,0,1,5,22,0,7,3
LOC104827799,NW_010972576.1,13235157,13236296,-,1140,169,0,0,2,1,13,2,24,84,0,70,56
TACR3,NW_010972576.1,13305191,13346931,-,41741,657,55,1,58,10,0,14,4,28,2,43,22
TET2,NW_010972576.1,13779301,13804472,+,25172,741,4867,79,2856,407,246,861,377,697,184,2215,1419
PPA2,NW_010972576.1,13834822,13874803,-,39982,957,3841,59,4114,522,458,1195,1127,3859,398,2600,2741
ARHGEF38,NW_010972576.1,13883452,13921686,+,38235,362,410,3,289,24,22,84,58,140,27,100,105
LOC104843331,NW_010972576.1,13889887,13908279,-,18393,0,0,0,0,0,0,0,0,0,0,0,0
INTS12,NW_010972576.1,13930170,13949807,-,19638,481,1292,22,1695,251,169,528,458,1621,162,895,1275
GSTCD,NW_010972576.1,13953730,14021075,+,67346,1137,1939,33,1973,246,178,538,553,1862,195,1091,1620
NPNT,NW_010972576.1,14043996,14095207,+,51212,1063,161,2,133,23,22,49,76,201,21,115,119
TBCK,NW_010972576.1,14132920,14248094,-,115175,2118,6601,105,7049,712,578,1583,1713,4876,512,2965,2947
AIMP1,NW_010972576.1,14248164,14287118,+,38955,751,2434,35,2997,412,285,887,745,2739,293,1535,2025
GIMD1,NW_010972576.1,14288945,14292479,-,3535,54,52,1,32,4,7,16,3,54,3,32,21
DKK2,NW_010972576.1,14434361,14477231,-,42871,817,38,1,30,12,3,12,7,27,2,33,23
PAPSS1,NW_010972576.1,14626526,14674547,-,48022,776,479,3,208,24,33,80,26,46,15,420,101
SGMS2,NW_010972576.1,14740900,14748581,+,7682,107,8,1,6,2,0,3,2,3,1,7,4
LOC104843342,NW_010972576.1,14760127,14775016,+,14890,289,391,2,445,36,18,134,44,75,38,135,141
HADH,NW_010972576.1,14778504,14795180,+,16677,323,405,5,343,29,26,112,81,158,35,186,240
LEF1,NW_010972576.1,14811421,14881727,-,70307,1545,331,7,258,29,36,139,35,100,28,334,141
RPL34,NW_010972576.1,15059827,15063655,+,3829,94,2025,59,2283,355,287,619,662,2669,125,1154,2139
OSTC,NW_010972576.1,15068068,15072808,+,4741,87,499,13,738,98,60,238,207,614,38,321,433
ETNPPL,NW_010972576.1,15109062,15122409,-,13348,235,14,0,16,2,2,2,3,14,0,17,6
COL25A1,NW_010972576.1,15143650,15450935,-,307286,5127,144,5,202,37,36,68,48,191,13,291,116
SEC24B,NW_010972576.1,15495447,15543128,+,47682,917,4866,96,5406,723,507,1600,1341,5218,431,2889,3801
CCDC109B,NW_010972576.1,15554162,15607988,+,53827,1104,1534,25,1131,115,102,381,250,305,138,909,823
CASP6,NW_010972576.1,15608602,15616924,-,8323,117,665,8,508,51,43,168,64,78,20,543,194
PLA2G12A,NW_010972576.1,15620206,15627494,-,7289,145,296,2,411,50,31,107,50,149,36,178,188
CFI,NW_010972576.1,15630007,15644590,-,14584,249,13,0,12,1,2,5,10,19,1,20,17
GAR1,NW_010972576.1,15645976,15651181,+,5206,160,183,6,265,27,25,37,62,116,14,111,141
RRH,NW_010972576.1,15657200,15670068,+,12869,259,25,0,21,2,5,9,9,20,0,21,23
LRIT3,NW_010972576.1,15671393,15683641,+,12249,182,10,0,12,6,0,1,5,16,2,15,8
EGF,NW_010972576.1,15701641,15763994,+,62354,1135,30,0,44,4,7,15,12,33,2,45,21
ELOVL6,NW_010972576.1,15812271,15836298,-,24028,477,36,1,26,6,3,9,5,10,2,40,7
ENPEP,NW_010972576.1,15966732,16003441,+,36710,677,16,0,26,2,5,7,4,14,3,31,19
PITX2,NW_010972576.1,16036324,16052114,-,15791,333,2,0,6,3,0,6,2,11,0,19,8
LOC104827809,NW_010972576.1,16658361,16669757,+,11397,348,4940,78,4033,573,400,1336,1347,3903,325,2467,3160
SLC20A2,NW_010972576.1,16693404,16733091,-,39688,894,2215,40,2516,296,244,707,626,2169,257,1426,1804
HGSNAT,NW_010972576.1,16756796,16782830,+,26035,480,347,7,419,60,48,110,125,307,33,234,334
POMK,NW_010972576.1,16766099,16770281,-,4183,0,0,0,0,0,0,0,0,0,0,0,0
INTS10,NW_010972576.1,16783020,16804906,-,21887,329,788,8,980,109,98,208,265,968,58,585,618
LOC104843360,NW_010972576.1,16785341,16788438,+,3098,0,0,0,0,0,0,0,0,0,0,0,0
CSGALNACT1,NW_010972576.1,16842570,16857536,+,14967,283,48,1,22,5,3,13,10,27,5,35,7
SH2D4A,NW_010972576.1,16862719,16872258,-,9540,236,93,0,9,2,0,10,1,16,5,28,9
LOC104827810,NW_010972576.1,16880542,16882438,+,1897,65,0,0,2,1,0,0,0,4,0,3,0
LOC104843363,NW_010972576.1,16884930,16886468,+,1539,47,0,0,0,0,0,0,1,2,0,3,2
LOC104843365,NW_010972576.1,16887043,16910989,+,23947,586,267,2,137,32,28,87,81,426,20,159,199
YTHDC1,NW_010972576.1,16913736,16935227,-,21492,1523,17214,279,19252,2566,2104,6202,4939,18405,1832,10139,13311
LOC104843366,NW_010972576.1,16966170,16983275,+,17106,410,238,4,205,25,34,48,67,113,44,135,229
LOC104827811,NW_010972576.1,16994604,17039271,+,44668,902,27,0,39,4,1,8,5,25,2,36,27
UBA6,NW_010972576.1,17045763,17080632,+,34870,708,630,7,398,72,62,190,188,333,54,440,452
STAP1,NW_010972576.1,17085237,17092923,-,7687,136,24,0,7,2,0,5,8,10,0,16,15
CENPC,NW_010972576.1,17096877,17128779,+,31903,582,139,6,142,25,16,52,31,64,14,113,70
LOC104827832,NW_010972577.1,7,962113,-,962107,14170,498,13,602,137,88,266,165,617,44,720,352
MCPH1,NW_010972577.1,1713547,1761452,+,47906,800,1015,15,974,166,79,320,255,837,101,626,665
ANGPT2,NW_010972577.1,1764892,1808221,-,43330,638,2304,12,1247,374,153,853,247,671,293,2696,526
AGPAT5,NW_010972577.1,1875223,1936686,+,61464,1238,5474,82,4985,671,590,1732,1223,3732,418,3665,2941
TMEM14A,NW_010972577.1,1977112,1984828,+,7717,130,97,1,87,1,5,31,19,41,3,63,39
LOC104827818,NW_010972577.1,1987235,1993969,-,6735,120,138,6,219,22,11,69,57,95,14,107,137
LOC104827819,NW_010972577.1,1999152,2004617,-,5466,119,2,0,23,1,2,3,7,5,2,9,10
LOC104827820,NW_010972577.1,2013584,2022359,-,8776,191,105,0,43,5,0,56,56,54,5,33,52
LOC104827821,NW_010972577.1,2038371,2049539,-,11169,212,76,1,112,23,5,32,74,106,12,55,130
ICK,NW_010972577.1,2054210,2078232,-,24023,530,3466,52,3763,635,394,968,915,3052,313,2151,2156
FBXO9,NW_010972577.1,2078074,2102382,+,24309,528,3382,45,3655,462,315,1150,948,2935,312,1779,2471
GCM1,NW_010972577.1,2118478,2127104,-,8627,226,3,0,9,0,2,1,0,7,2,16,3
ELOVL5,NW_010972577.1,2152184,2169455,-,17272,355,889,13,316,47,34,111,26,40,19,413,117
GCLC,NW_010972577.1,2225034,2259976,-,34943,1104,9567,181,12835,1771,1099,3836,2352,10296,1100,5029,7477
LOC104827828,NW_010972577.1,2260122,2263338,+,3217,70,113,0,98,23,11,52,28,86,13,53,53
KLHL31,NW_010972577.1,2294379,2300757,-,6379,121,2,0,4,1,0,0,0,3,0,6,0
LOC104827835,NW_010972577.1,2306052,2326839,+,20788,361,1045,9,1048,117,25,385,116,222,66,135,183
LRRC1,NW_010972577.1,2364549,2429157,+,64609,1289,2124,26,944,199,97,465,59,131,114,1309,284
MLIP,NW_010972577.1,2436905,2575086,+,138182,2555,347,7,222,51,34,89,25,104,20,314,77
TINAG,NW_010972577.1,2584366,2630430,+,46065,763,20,2,33,5,4,8,5,27,3,29,17
FAM83B,NW_010972577.1,2767593,2813019,+,45427,719,15,0,22,6,4,10,8,29,0,32,13
LOC104827847,NW_010972578.1,2915,3337,-,423,217,600,14,656,114,75,281,86,480,177,653,684
LOC104827839,NW_010972578.1,3466,15467,+,12002,285,2508,46,3042,377,317,993,692,2298,299,1325,1976
UBE2R2,NW_010972578.1,18967,74832,-,55866,807,8040,137,8431,935,402,2382,1181,4059,1182,2893,5086
NOL6,NW_010972578.1,96918,130031,+,33114,444,481,18,580,93,58,179,107,426,54,194,362
AQP3,NW_010972578.1,179690,193129,+,13440,261,6965,130,8685,1107,594,2745,1696,5794,702,2506,4448
LOC104827842,NW_010972578.1,231340,236556,+,5217,70,48,5,65,9,4,10,6,22,3,8,5
LOC104827849,NW_010972578.1,259416,272103,+,12688,144,2,0,8,3,1,1,0,4,0,9,3
TPGS2,NW_010972578.1,274072,296653,-,22582,262,603,12,658,87,34,180,109,294,54,146,244
KIAA1328,NW_010972578.1,296939,457157,+,160219,1633,3184,44,2622,439,232,971,483,1594,272,1102,1056
CELF4,NW_010972578.1,556101,1246904,-,690804,13043,263,8,380,80,40,136,90,361,39,610,243
AIRE,NW_010972579.1,524,3513,-,2990,82,2,0,0,0,1,0,0,5,1,3,1
LOC104827850,NW_010972579.1,8500,9989,-,1490,275,1579,31,1795,368,262,639,616,2513,193,1054,1456
SCLY,NW_010972579.1,11764,17315,+,5552,195,242,5,289,81,32,89,77,250,25,190,259
SLC35G2,NW_010972579.1,17359,25476,-,8118,183,152,4,165,18,31,66,59,147,12,133,153
STAG1,NW_010972579.1,29287,226899,+,197613,3479,4193,67,3708,489,452,1198,1087,3130,392,3195,3521
PCCB,NW_010972579.1,230070,257715,-,27646,586,679,7,734,69,55,181,129,304,47,378,411
MSL2,NW_010972579.1,270393,289160,+,18768,404,1133,19,1204,201,214,542,333,1500,131,1023,878
PPP2R3A,NW_010972579.1,295880,344420,-,48541,982,679,12,584,60,72,181,202,632,60,470,529
DBR1,NW_010972579.1,356556,366770,+,10215,263,1199,13,1455,220,179,430,432,1571,122,732,1152
ARMC8,NW_010972579.1,367763,450512,+,82750,1668,4441,64,4506,574,488,1486,1362,5028,379,2776,3446
NME9,NW_010972579.1,452064,461289,+,9226,220,251,4,173,34,39,72,71,264,13,129,199
VPS8,NW_010972579.1,460546,545747,+,85202,1897,7856,171,12475,1353,916,2664,2711,9267,950,5262,8647
LOC104827862,NW_010972579.1,548528,554112,-,5585,199,166,8,176,29,29,67,60,236,16,146,187
EHHADH,NW_010972579.1,575813,601909,-,26097,554,25,0,17,5,4,6,6,30,1,49,9
MAP3K13,NW_010972579.1,608283,692697,+,84415,1850,1237,23,2024,239,143,540,296,1515,222,1240,1589
TMEM41A,NW_010972579.1,694255,696794,-,2540,57,9,1,11,3,1,2,3,18,1,10,2
CEP63,NW_010972579.1,696601,739734,+,43134,541,995,19,1166,141,67,265,305,1050,98,615,944
LIPH,NW_010972579.1,696819,709994,-,13176,0,0,0,0,0,0,0,0,0,0,0,0
ANAPC13,NW_010972579.1,712254,715649,-,3396,0,0,0,0,0,0,0,0,0,0,0,0
KY,NW_010972579.1,744839,765165,-,20327,514,15,0,25,3,5,10,11,33,4,27,38
EPHB1,NW_010972579.1,801656,877451,+,75796,1893,45,3,58,14,5,11,12,50,7,104,27
A4GNT,NW_010972579.1,1321606,1324557,+,2952,80,0,0,0,0,0,1,0,0,1,5,0
DZIP1L,NW_010972579.1,1330206,1341632,+,11427,300,1,0,11,2,0,1,3,5,1,14,8
CLDN18,NW_010972579.1,1350157,1367190,-,17034,389,9,0,10,0,0,4,0,5,3,33,2
SOX14,NW_010972579.1,1439450,1440200,-,751,14,1,0,2,0,0,0,0,0,1,2,0
CRYGS,NW_010972579.1,1607101,1615229,-,8129,210,105,2,88,13,16,56,41,200,9,64,117
TBCCD1,NW_010972579.1,1616285,1625321,-,9037,177,410,10,415,65,82,170,159,671,42,274,434
DNAJB11,NW_010972579.1,1625837,1637822,+,11986,306,617,5,465,63,55,127,132,295,45,348,300
PROCR,NW_010972579.1,1645482,1647349,-,1868,58,1,0,4,1,0,4,0,4,0,4,3
PFKL,NW_010972579.1,1648745,1658021,+,9277,279,118,10,139,28,47,69,70,130,12,160,153
LOC104827922,NW_010972579.1,1658618,1667610,-,8993,223,45,0,25,9,7,19,14,40,5,31,37
TRA2B,NW_010972579.1,1672216,1693406,+,21191,512,3061,68,3387,382,361,1027,827,3181,265,1991,2415
IGF2BP2,NW_010972579.1,1701023,1725580,+,24558,637,97,1,49,17,8,34,9,25,6,100,16
SENP2,NW_010972579.1,1730403,1748329,-,17927,407,716,7,725,83,73,162,205,569,71,373,547
AMOTL2,NW_010972579.1,1772194,1777974,+,5781,157,5,0,8,1,1,4,4,1,1,20,4
RYK,NW_010972579.1,1818751,1865684,+,46934,919,1597,29,2046,229,145,452,487,1365,153,1154,1533
SLCO2A1,NW_010972579.1,1907903,1935993,+,28091,800,166,2,141,38,41,99,36,384,29,133,128
TF,NW_010972579.1,1941254,1967774,-,26521,775,2829,76,2004,308,319,635,491,1625,192,1597,1679
LOC104827928,NW_010972579.1,1974222,1998686,+,24465,270,14,0,9,0,0,2,3,8,3,17,6
LOC104827881,NW_010972579.1,1984039,2004261,-,20223,140,138,2,38,4,8,17,9,32,2,30,35
PAK2,NW_010972579.1,2014087,2056748,-,42662,1087,3814,98,3601,515,357,1067,919,3198,339,2468,2716
PIGX,NW_010972579.1,2062512,2067990,-,5479,163,405,6,374,66,48,116,126,263,33,190,266
CEP19,NW_010972579.1,2070910,2071900,+,991,65,557,6,756,98,63,183,182,725,49,287,592
NRROS,NW_010972579.1,2076351,2084146,-,7796,295,1182,25,1271,180,129,360,300,1019,115,665,934
FBXO45,NW_010972579.1,2091077,2097794,-,6718,257,1576,28,2139,283,222,613,560,1876,155,939,1593
WDR53,NW_010972579.1,2096742,2102979,+,6238,93,473,9,642,67,56,115,131,396,40,233,458
RNF168,NW_010972579.1,2110696,2117705,+,7010,199,572,12,735,103,95,233,179,803,59,482,650
UBXN7,NW_010972579.1,2124617,2149477,+,24861,569,2158,30,2410,323,231,617,591,2141,170,1072,1761
TM4SF19,NW_010972579.1,2158736,2161494,+,2759,99,80,3,26,8,5,9,13,70,3,25,44
NEU4,NW_010972579.1,2162585,2164692,-,2108,65,10,0,12,4,0,2,2,18,2,6,6
GAL3ST2,NW_010972579.1,2167722,2174323,-,6602,164,65,2,73,14,8,22,23,74,7,44,63
D2HGDH,NW_010972579.1,2180555,2189234,-,8680,198,412,15,418,51,36,106,155,339,30,253,330
LOC104827890,NW_010972579.1,2189716,2232538,-,42823,1051,7427,150,9775,1119,886,3109,1997,7266,1026,4157,5374
DTYMK,NW_010972579.1,2200152,2208440,+,8289,0,0,0,0,0,0,0,0,0,0,0,0
THAP4,NW_010972579.1,2234291,2252811,+,18521,590,1559,36,1809,243,194,613,497,1672,145,880,1274
TRPM2,NW_010972579.1,2261443,2278481,+,17039,491,79,0,91,11,11,37,37,81,3,64,50
LRRC3,NW_010972579.1,2281862,2282725,+,864,19,2,0,0,0,0,0,1,0,0,2,0
TSPEAR,NW_010972579.1,2284993,2298461,-,13469,382,11,0,11,4,2,8,3,28,5,29,6
UBE2G2,NW_010972579.1,2310878,2329338,-,18461,442,1432,20,1627,197,140,450,415,1571,142,798,1273
SUMO3,NW_010972579.1,2330204,2333838,-,3635,177,1804,40,2318,458,340,679,697,2651,173,1102,2031
PTTG1IP,NW_010972579.1,2338794,2348041,-,9248,216,8,0,9,2,0,3,1,11,0,15,3
LOC104827894,NW_010972579.1,2368698,2387826,+,19129,565,16,0,19,7,1,7,0,10,2,48,11
ETV5,NW_010972579.1,2393081,2405006,+,11926,334,158,6,180,23,39,68,18,63,19,141,45
BOK,NW_010972579.1,2414693,2464719,-,50027,1286,4490,95,4152,565,718,1256,679,1984,303,3382,2103
STK25,NW_010972579.1,2465635,2485834,+,20200,539,1865,40,1963,257,217,519,653,1777,170,993,1641
FARP2,NW_010972579.1,2489979,2569292,-,79314,1503,381,7,265,43,46,98,48,141,28,249,196
2-Sep,NW_010972579.1,2582817,2605798,-,22982,482,656,18,518,82,51,205,82,238,28,436,322
HDLBP,NW_010972579.1,2605942,2647717,+,41776,1383,6813,135,6372,931,798,2588,1974,6349,585,3898,5256
ANO7,NW_010972579.1,2648811,2657047,-,8237,256,6,0,6,1,0,8,0,18,1,20,6
PPP1R7,NW_010972579.1,2662667,2679191,-,16525,395,878,23,1054,165,123,294,320,1141,94,581,972
PASK,NW_010972579.1,2679474,2700734,+,21261,400,361,5,456,85,66,99,108,421,30,329,376
MTERF4,NW_010972579.1,2700703,2701656,+,954,34,130,6,223,44,47,95,100,284,17,172,251
SNED1,NW_010972579.1,2703668,2724342,-,20675,528,84,2,142,23,13,48,21,53,16,125,95
LOC104827910,NW_010972579.1,2735192,2739834,+,4643,107,1,1,4,0,0,2,1,3,0,9,0
AGXT,NW_010972579.1,2740494,2743993,-,3500,65,1,0,4,0,1,0,0,2,0,2,2
KIF1A,NW_010972579.1,2751981,2785988,+,34008,949,4,0,17,2,1,3,5,23,3,58,13
ILKAP,NW_010972579.1,2788953,2802120,+,13168,423,1049,18,1082,135,110,367,321,1018,93,565,847
FAM132B,NW_010972579.1,2805971,2807718,-,1748,61,29,1,6,5,2,36,10,37,0,23,21
KLHL30,NW_010972579.1,2808615,2812238,-,3624,103,5,0,3,1,1,5,0,2,0,9,2
LOC104827939,NW_010972580.1,3836,4141,+,306,33,0,0,0,0,0,0,0,0,0,0,1
LOC104827940,NW_010972580.1,8819,9147,-,329,11,0,0,0,0,0,0,0,0,0,2,0
LOC104827941,NW_010972580.1,12430,12762,+,333,86,0,0,2,0,0,0,0,1,0,3,3
LOC104827998,NW_010972580.1,15099,26578,+,11480,239,9,0,13,3,1,2,2,14,1,18,10
GOSR2,NW_010972580.1,33560,50652,-,17093,401,1984,26,2166,306,239,593,508,1972,179,1219,1599
WNT9B,NW_010972580.1,94117,134935,-,40819,878,8,1,22,1,2,6,2,22,2,36,11
WNT3,NW_010972580.1,135196,185219,+,50024,1073,21,0,43,6,5,12,12,29,3,43,12
NSF,NW_010972580.1,188936,272751,-,83816,1841,4604,73,3837,586,523,1318,1504,4583,465,2953,4003
LOC104828000,NW_010972580.1,276771,293098,+,16328,308,28,0,13,6,1,21,1,51,3,21,29
CCDC43,NW_010972580.1,296367,307177,-,10811,319,864,15,1121,196,156,383,288,1475,89,576,885
DBF4B,NW_010972580.1,307176,319945,+,12770,296,105,2,168,31,23,53,39,139,15,92,149
ADAM11,NW_010972580.1,321875,334549,+,12675,340,24,1,22,13,6,10,2,12,5,61,23
GJC1,NW_010972580.1,348977,372626,-,23650,612,1118,30,870,181,150,315,210,739,84,970,711
EFTUD2,NW_010972580.1,377019,398736,-,21718,687,2795,41,3514,490,345,972,958,2762,311,1741,2522
CCDC103,NW_010972580.1,399400,404371,+,4972,139,1,0,7,1,0,5,1,14,1,8,8
LOC104828005,NW_010972580.1,406614,407858,+,1245,28,0,0,0,0,0,0,0,0,0,2,0
GFAP,NW_010972580.1,410941,415441,-,4501,120,0,0,5,0,0,0,0,3,1,8,1
KIF18B,NW_010972580.1,419002,430054,-,11053,283,2,0,7,1,2,1,1,3,2,15,4
C1QL1,NW_010972580.1,432168,438494,-,6327,213,4,0,8,1,2,2,2,9,1,15,4
DCAKD,NW_010972580.1,446313,455558,-,9246,253,253,5,343,61,68,117,131,427,36,235,563
NMT1,NW_010972580.1,455847,473732,+,17886,529,223,4,265,39,49,85,77,231,27,208,214
PLCD3,NW_010972580.1,475789,487022,-,11234,325,5,0,8,1,1,0,0,10,3,20,4
ACBD4,NW_010972580.1,492137,500619,+,8483,219,124,2,134,28,34,87,101,247,24,132,176
LOC104827954,NW_010972580.1,503530,506555,-,3026,94,305,4,215,51,40,106,82,286,14,131,186
LOC104828009,NW_010972580.1,516556,520101,+,3546,134,593,4,383,116,112,201,22,56,32,590,121
FMNL1,NW_010972580.1,536134,549461,+,13328,555,3381,89,1625,358,300,713,150,252,172,2348,732
MAP3K14,NW_010972580.1,550941,569605,-,18665,415,713,20,434,62,56,153,51,169,35,499,228
MYO1D,NW_010972580.1,607409,766275,+,158867,3178,421,6,273,37,30,158,50,157,33,436,151
CDK5R1,NW_010972580.1,770342,770882,-,541,19,68,0,19,7,10,37,22,38,8,48,39
PSMD11,NW_010972580.1,774798,795472,-,20675,493,2036,40,2188,335,288,699,664,2336,175,1155,1881
FZD2,NW_010972580.1,808252,809925,-,1674,55,40,0,21,19,5,41,8,6,7,31,5
GPATCH8,NW_010972580.1,835163,876087,+,40925,1114,4198,57,4651,574,524,1174,898,3162,383,2776,3298
ITGA2B,NW_010972580.1,879856,887523,+,7668,273,2047,68,1674,453,666,820,108,146,184,2383,631
TMEM98,NW_010972580.1,892473,906737,-,14265,110,30,1,40,22,10,30,15,41,9,53,36
ARHGAP27,NW_010972580.1,910379,922218,-,11840,313,95,8,60,23,22,52,14,30,7,153,46
PLEKHM1,NW_010972580.1,921133,940765,-,19633,511,1400,32,1512,216,138,447,386,1159,122,795,949
RDM1,NW_010972580.1,957288,962174,-,4887,99,70,1,22,8,7,28,1,6,3,42,11
LOC104827962,NW_010972580.1,962722,967028,-,4307,100,12,1,9,0,0,4,0,0,1,15,1
CD79B,NW_010972580.1,971519,976235,-,4717,166,182,3,190,53,32,109,4,10,18,100,37
SCN4A,NW_010972580.1,980521,1013024,-,32504,792,16,2,25,6,6,11,3,9,5,42,13
LOC104827965,NW_010972580.1,1028315,1039402,-,11088,305,3,0,8,0,1,1,1,3,1,22,6
PRR29,NW_010972580.1,1047129,1051227,+,4099,111,0,0,3,0,0,0,0,11,2,11,1
LOC104827966,NW_010972580.1,1054192,1058398,+,4207,154,1,0,6,0,0,1,1,6,1,10,4
LOC104828017,NW_010972580.1,1060680,1084033,+,23354,707,17,0,28,8,6,17,4,80,5,36,10
FTSJ3,NW_010972580.1,1085594,1092223,-,6630,320,563,13,881,160,112,271,261,840,81,456,683
PSMC5,NW_010972580.1,1092938,1103872,+,10935,152,424,8,571,130,100,212,211,784,69,405,497
SMARCD2,NW_010972580.1,1097100,1108121,-,11022,153,229,5,304,53,56,125,79,420,41,141,246
LOC104828018,NW_010972580.1,1113656,1116486,+,2831,77,9,0,3,2,2,3,3,5,1,7,10
ASIC2,NW_010972580.1,1188067,1701970,-,513904,10947,183,20,824,77,36,325,117,317,26,527,172
CRHR1,NW_010972580.1,1756207,1783372,+,27166,681,5,0,10,1,3,1,3,10,3,37,15
RPRML,NW_010972580.1,1859286,1859975,-,690,24,1,0,0,0,1,0,0,0,0,0,2
ITGB3,NW_010972580.1,1864133,1888905,+,24773,737,1978,42,939,161,219,309,71,116,65,1045,393
METTL2A,NW_010972580.1,1899561,1917490,+,17930,317,162,3,180,28,13,62,48,179,7,105,138
TLK2,NW_010972580.1,1924662,1964387,+,39726,1047,3578,52,4461,599,416,1208,1048,3671,335,2479,3009
MRC2,NW_010972580.1,1985736,2001685,+,15950,452,18,0,36,5,7,14,4,9,1,45,8
TANC2,NW_010972580.1,2118066,2326427,+,208362,4067,245,7,257,43,21,136,39,120,25,337,99
LOC104827977,NW_010972580.1,2333699,2335527,-,1829,48,0,0,1,0,0,0,1,1,0,5,0
ACE,NW_010972580.1,2345550,2362677,+,17128,432,3,1,9,4,0,3,1,8,0,25,11
KCNH6,NW_010972580.1,2370082,2403777,+,33696,998,3,0,24,5,1,5,3,20,3,47,8
DCAF7,NW_010972580.1,2405437,2422921,+,17485,346,553,11,417,79,57,154,115,443,35,324,297
MAP3K3,NW_010972580.1,2427718,2466058,+,38341,766,3232,39,3298,422,362,893,848,2730,227,1765,2270
LIMD2,NW_010972580.1,2474457,2487963,-,13507,447,820,20,563,68,71,226,32,83,54,662,195
RNF113A,NW_010972580.1,2490448,2507407,+,16960,407,1505,25,1988,319,278,707,540,2239,184,1121,1624
STRADA,NW_010972580.1,2498559,2511373,-,12815,48,186,11,305,42,25,123,59,301,32,142,182
CCDC47,NW_010972580.1,2510743,2523320,-,12578,312,1437,18,1794,230,147,550,396,1722,142,850,1179
DDX42,NW_010972580.1,2523371,2542726,+,19356,715,5670,95,7354,919,793,2313,1871,7253,648,3299,5277
LOC104828020,NW_010972580.1,2545306,2551822,-,6517,183,70,0,85,22,24,97,37,239,13,67,83
MYL4,NW_010972580.1,2555502,2562314,+,6813,203,25,1,31,15,10,51,17,139,7,33,54
CDC27,NW_010972580.1,2566389,2599649,+,33261,652,4847,65,5160,576,536,1648,1597,5233,464,2915,3794
LOC104828021,NW_010972580.1,2603515,2607510,-,3996,832,67,1,60,13,51,15,115,437,7,276,230
KANSL1,NW_010972580.1,2614088,2712893,+,98806,3033,13171,271,16212,2063,1785,4714,4755,15371,1258,9834,12201
MAPT,NW_010972580.1,2718898,2769415,-,50518,1023,1779,44,1378,239,189,800,521,1963,110,823,923
SLC25A39,NW_010972580.1,2759785,2783348,+,23564,282,531,18,468,153,97,336,240,1060,88,325,508
LOC104827992,NW_010972580.1,2778731,2780726,-,1996,0,0,0,0,0,0,0,0,0,0,0,0
RUNDC3A,NW_010972580.1,2784145,2787841,-,3697,116,40,2,44,12,4,28,31,94,11,33,44
SLC4A1,NW_010972580.1,2798013,2809212,+,11200,2996,34433,1010,46552,9221,6896,21029,17406,55281,5455,23628,40073
UBTF,NW_010972580.1,2818134,2831591,+,13458,456,445,8,296,79,68,162,113,280,31,296,382
ATXN7L3,NW_010972580.1,2831865,2841057,+,9193,133,128,2,130,42,28,94,62,136,14,152,149
TMUB2,NW_010972580.1,2842193,2844650,-,2458,79,81,4,184,25,29,39,56,122,15,76,116
ASB16,NW_010972580.1,2844376,2848099,-,3724,49,6,1,11,5,0,4,6,23,3,8,12
LOC104828024,NW_010972580.1,2848638,2852622,-,3985,137,115,4,140,41,18,52,38,133,18,85,118
EPHA5,NW_010972581.1,260632,456538,+,195907,4278,172,3,182,41,36,115,187,225,28,421,241
LOC104828029,NW_010972581.1,481173,482308,-,1136,50,1,0,0,0,0,0,0,0,0,2,0
TECRL,NW_010972581.1,583676,648907,+,65232,1231,16,1,44,7,4,22,4,37,4,47,30
LPHN3,NW_010972581.1,1443995,1717468,-,273474,5250,549,8,186,42,37,91,39,158,15,370,112
