GeneID,Chr,Start,End,Strand,Length,Eagle_002_null,Eagle_002_lps,Eagle_004_null,Eagle_004_lps,Eagle_006_null,Eagle_006_lps,Eagle_007_null,Eagle_007_lps,Eagle_008_null,Eagle_008_lps,Eagle_012_null,Eagle_012_lps,Eagle_013_null,Eagle_013_lps,Eagle_014_null,Eagle_014_lps,Eagle_015_null,Eagle_015_lps,Eagle_020_null,Eagle_020_lps,Eagle_021_null,Eagle_021_lps,Eagle_022_null,Eagle_022_lps
VCP,NW_010972612.1,496067,523976,+,27910,3978,525,4570,5309,6322,108,4627,5629,4099,845,1191,423,3056,1952,2075,983,4367,3593,6158,555,2623,2064,2991,2583
DNAJB5,NW_010972612.1,529351,541502,-,12152,50,180,48,38,72,1,48,68,55,4,7,1,19,23,15,8,22,23,66,14,22,17,28,14
KIAA1045,NW_010972612.1,561630,565152,-,3523,4,50,1,0,3,0,1,4,1,0,0,0,1,1,2,0,4,2,4,2,1,3,0,0
CCL21,NW_010972612.1,605982,607040,+,1059,3,18,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,3,2,0
CCL19,NW_010972612.1,615428,618043,+,2616,1,30,2,0,1,0,1,1,1,0,0,0,0,0,0,0,3,0,3,0,0,3,3,0
IL11RA,NW_010972612.1,641460,646418,-,4959,6,67,1,1,1,0,1,4,2,1,0,0,0,0,1,0,5,1,6,1,1,5,2,1
CNTFR,NW_010972612.1,690612,779112,-,88501,127,1257,220,461,81,7,104,104,50,17,7,4,15,36,22,10,45,24,113,9,35,125,86,34
GALT,NW_010972612.1,1122479,1125396,-,2918,6,31,5,9,7,0,18,4,13,1,1,2,1,2,6,1,4,0,4,1,2,4,4,1
SIGMAR1,NW_010972612.1,1126395,1129005,+,2611,4,17,4,3,3,0,3,3,2,0,1,0,2,1,1,0,1,1,5,2,0,3,1,0
ARID3C,NW_010972612.1,1130274,1154276,+,24003,12,386,16,6,10,0,14,17,6,4,1,0,2,4,4,3,10,10,21,2,8,22,16,8
DCTN3,NW_010972612.1,1158766,1169424,+,10659,369,187,468,465,608,8,494,496,438,90,114,36,243,184,160,88,436,375,496,33,190,157,238,224
RPP25L,NW_010972612.1,1170970,1172471,+,1502,142,33,105,160,188,4,137,173,131,34,29,8,79,53,49,24,89,78,155,12,70,35,72,77
ENHO,NW_010972612.1,1176602,1176787,+,186,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
DNAI1,NW_010972612.1,1179260,1317758,-,138499,180,1524,213,162,240,8,219,337,126,39,32,13,208,174,46,26,144,73,235,33,67,97,69,65
FAM219A,NW_010972612.1,1383325,1429103,+,45779,1429,547,2656,3441,4326,66,3183,4175,2151,516,447,198,1834,1215,798,390,1527,1353,3948,401,1187,1042,1919,1228
LOC104829776,NW_010972612.1,1433309,1436207,+,2899,3,46,8,4,6,0,5,6,9,3,1,1,3,3,0,0,6,0,9,0,3,3,3,0
KIAA1161,NW_010972612.1,1445588,1447860,+,2273,1,15,1,3,2,0,3,3,0,0,0,1,1,0,1,1,3,0,0,0,1,0,1,1
LOC104829788,NW_010972613.1,12,2359,-,2348,86,45,86,95,177,1,151,114,112,35,35,12,56,65,51,34,113,96,136,16,81,82,116,110
TRNAK-UUU_4,NW_010972613.1,9627,9699,+,73,4,7,0,0,1,0,1,1,1,0,1,1,1,0,1,0,0,2,3,0,0,0,2,0
GPR152,NW_010972613.1,9873,11131,-,1259,16,33,8,12,15,0,19,17,22,3,2,2,5,3,9,2,16,11,24,4,8,16,25,13
OSBP,NW_010972613.1,11804,23261,-,11458,1276,326,991,937,1813,28,1435,1647,1012,241,364,166,645,481,454,324,1101,1054,1493,175,794,526,1202,965
LOC104829847,NW_010972613.1,24699,25931,+,1233,17,38,6,13,21,1,19,9,22,8,3,9,12,18,11,2,12,16,27,5,7,15,30,14
PATL1,NW_010972613.1,29354,38989,-,9636,2189,423,1360,1434,2052,39,1900,1907,1586,315,496,232,866,681,912,504,2032,1600,1902,229,1134,874,1365,1314
STX3,NW_010972613.1,40783,46419,+,5637,399,195,319,596,271,26,270,250,154,46,19,39,83,90,108,27,125,54,286,25,128,349,279,115
MRPL16,NW_010972613.1,47277,49053,-,1777,276,57,104,120,206,3,192,152,189,27,49,27,65,63,97,80,210,201,130,16,129,71,155,183
GIF,NW_010972613.1,50208,53464,-,3257,8,93,5,0,1,0,0,1,3,0,0,0,0,1,0,2,5,3,0,1,3,4,0,0
MS4A15,NW_010972613.1,69796,71895,+,2100,23,68,9,11,12,0,8,12,8,4,3,3,7,6,9,3,30,22,4,0,6,7,4,6
CCDC86,NW_010972613.1,72438,75415,+,2978,276,119,117,139,254,8,216,247,162,36,79,36,69,70,158,81,248,184,186,17,137,133,148,136
BAAT,NW_010972613.1,76815,78384,+,1570,2,38,4,2,3,0,4,4,7,0,3,2,1,0,1,2,6,2,3,0,7,2,2,4
ZP1,NW_010972613.1,80104,84146,+,4043,9,107,6,1,4,0,6,8,7,1,1,3,3,3,3,6,16,8,8,1,7,6,10,4
PRPF19,NW_010972613.1,84929,89546,-,4618,888,180,482,447,636,5,598,563,484,100,233,80,258,197,371,214,778,660,478,39,601,397,383,513
TMEM109,NW_010972613.1,90037,90463,+,427,1,17,1,3,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
TMEM132A,NW_010972613.1,91572,96656,+,5085,5,48,3,11,3,0,3,4,0,1,3,0,0,3,2,0,4,2,3,0,1,3,5,2
SLC15A3,NW_010972613.1,98128,101138,-,3011,9,89,6,44,3,0,9,29,6,8,1,6,1,9,4,2,2,3,11,3,5,41,15,2
CD6,NW_010972613.1,102806,108268,+,5463,52,123,30,95,9,1,84,65,46,11,5,7,20,31,16,3,15,9,45,4,21,64,77,28
CD5,NW_010972613.1,112209,117799,+,5591,21,179,14,27,7,0,20,15,12,6,0,4,8,20,8,4,16,10,20,2,9,41,35,10
VPS37C,NW_010972613.1,119277,123429,-,4153,474,181,310,373,596,10,425,470,459,79,150,62,222,136,240,153,589,480,428,36,336,249,409,366
PGA5,NW_010972613.1,134278,137224,+,2947,13,119,13,8,6,0,4,11,11,4,6,3,4,4,6,3,27,17,11,2,8,9,10,8
VWCE,NW_010972613.1,138857,144585,-,5729,13,177,7,1,4,0,3,10,6,1,3,5,4,1,6,3,21,12,5,2,4,9,6,9
DDB1,NW_010972613.1,147692,164480,-,16789,5485,672,3661,3726,5388,88,4158,4963,3284,708,1451,598,2223,1514,2634,1489,6030,4758,4208,417,3513,2205,4059,3867
DAK,NW_010972613.1,164540,169281,+,4742,4,43,3,10,4,0,5,4,4,1,1,2,0,1,3,2,10,6,4,0,7,5,0,2
CPSF7,NW_010972613.1,166374,189487,-,23114,1197,407,699,698,1115,18,998,939,864,154,276,136,431,339,461,265,1053,1018,960,97,691,521,680,722
LOC104829802,NW_010972613.1,170165,173992,-,3828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMEM138,NW_010972613.1,173463,176533,+,3071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMEM216,NW_010972613.1,177022,178055,+,1034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SDHAF2,NW_010972613.1,190537,192061,+,1525,269,68,149,150,303,12,207,210,237,41,49,27,87,76,90,82,271,212,242,11,108,85,147,190
LRRC10B,NW_010972613.1,194890,196103,+,1214,1,38,2,0,1,0,2,2,0,0,0,0,0,0,0,2,1,2,1,0,0,1,1,0
SYT7,NW_010972613.1,202460,231316,-,28857,24,790,18,7,11,0,9,27,15,3,2,0,2,2,12,3,18,7,18,4,19,50,33,7
DAGLA,NW_010972613.1,261079,329532,+,68454,3254,1701,4993,4379,9357,126,5312,6570,3974,690,849,289,3120,1911,841,487,2220,1788,6000,557,1535,1020,2341,2297
MYRF,NW_010972613.1,348709,411010,+,62302,378,1553,310,357,402,8,279,308,252,52,102,40,200,159,139,67,431,321,450,35,197,172,277,152
TMEM258,NW_010972613.1,415008,416114,-,1107,783,41,493,506,1016,12,687,824,555,95,228,109,248,170,329,217,760,613,533,47,489,245,467,638
FEN1,NW_010972613.1,416189,418764,+,2576,116,90,67,81,54,1,72,64,54,9,36,9,28,31,31,23,91,64,77,9,69,52,82,59
LOC104829862,NW_010972613.1,424394,425362,+,969,0,22,0,0,1,0,3,1,2,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0
LOC104829863,NW_010972613.1,428541,429494,-,954,2,22,2,0,0,0,1,1,0,0,1,0,0,0,0,1,3,0,2,0,0,0,0,0
LOC104829864,NW_010972613.1,433289,434266,-,978,3,33,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,1,0,0,1,0,4,0
LOC104829807,NW_010972613.1,439371,440309,-,939,2,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,1,1,1,1
LOC104829865,NW_010972613.1,446081,447028,-,948,1,25,2,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0
LOC104829866,NW_010972613.1,451384,464480,+,13097,22,264,7,4,5,0,2,12,2,3,0,0,0,2,7,2,11,8,12,0,3,11,8,5
LOC104829844,NW_010972613.1,455308,456237,-,930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC104829808,NW_010972613.1,459295,460224,-,930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC104829867,NW_010972613.1,465687,466604,+,918,1,38,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0
LOC104829809,NW_010972613.1,469984,470970,-,987,4,33,0,2,2,0,1,0,0,1,1,0,0,0,0,0,0,5,2,0,0,0,3,0
LOC104829868,NW_010972613.1,474657,475670,-,1014,3,33,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,2,1,0,0
LOC104829810,NW_010972613.1,482419,483345,-,927,4,21,0,3,2,0,0,4,0,0,0,0,0,0,0,0,1,5,2,0,0,4,1,1
TBX10,NW_010972613.1,485498,489117,+,3620,4,125,3,2,1,0,1,2,2,0,0,0,2,1,2,2,1,4,4,1,1,10,6,0
TCIRG1,NW_010972613.1,489577,494167,-,4591,303,127,197,433,94,9,205,179,94,26,17,31,43,77,64,9,44,24,142,17,69,239,230,89
NDUFS8,NW_010972613.1,494971,496277,-,1307,248,42,101,149,252,8,189,210,183,56,43,34,100,76,100,86,254,218,196,22,169,126,153,188
LOC104829813,NW_010972613.1,496819,509193,-,12375,529,393,417,421,370,8,486,423,469,96,166,80,176,204,201,116,443,350,437,45,267,287,347,384
LOC104829871,NW_010972613.1,510603,520694,-,10092,533,298,479,466,619,14,588,586,444,97,181,79,210,173,251,126,583,447,586,61,278,244,359,501
UNC93B1,NW_010972613.1,521108,524750,+,3643,535,134,404,381,557,8,505,486,410,83,145,64,169,152,167,120,502,379,519,63,300,224,306,465
MAX,NW_010972613.1,525541,529265,+,3725,709,129,460,407,930,22,779,665,713,162,180,110,255,256,303,221,824,701,630,54,549,327,475,617
LOC104829872,NW_010972613.1,529452,543090,-,13639,621,293,336,318,502,18,650,485,668,153,158,108,212,254,278,231,632,580,561,69,340,352,468,488
GPX2,NW_010972613.1,539704,540371,+,668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPTB,NW_010972613.1,547962,563261,+,15300,13916,1632,9408,10420,14146,265,11657,10984,10065,2281,2317,1390,6810,6999,10147,6377,19945,16565,15671,1820,12158,8938,12908,13192
PLEKHG3,NW_010972613.1,563979,569376,-,5398,23,143,10,7,9,0,5,12,13,5,0,2,4,13,6,14,11,51,27,5,12,12,12,2
NUP160,NW_010972613.1,574221,604021,+,29801,2178,743,1268,1312,1967,30,1432,1527,1336,278,586,194,639,459,829,417,1818,1497,1444,141,1106,780,1290,1522
FNBP4,NW_010972613.1,603805,616049,+,12245,5899,664,3986,4183,5928,119,5780,5484,4512,978,1493,792,2199,1911,2686,1465,5843,5120,5758,637,3677,2897,4848,4050
AGBL2,NW_010972613.1,616339,623982,+,7644,817,200,486,512,886,17,801,853,652,139,202,106,337,248,392,219,821,704,620,74,434,376,583,631
NUDT8,NW_010972613.1,625106,626156,+,1051,14,13,10,11,10,0,15,12,14,2,2,4,7,7,6,2,17,15,8,3,5,4,20,14
NDUFV1,NW_010972613.1,626908,629405,-,2498,659,121,371,361,719,16,719,728,657,158,137,84,269,250,315,286,833,753,636,77,389,290,651,616
CABP2,NW_010972613.1,630613,631968,+,1356,3,43,4,0,0,0,6,5,5,0,0,1,3,3,1,1,3,0,4,0,1,5,4,3
PITPNM1,NW_010972613.1,638569,645363,+,6795,284,230,232,326,127,7,486,262,180,49,7,36,99,96,159,21,96,27,316,36,94,342,683,106
AIP,NW_010972613.1,646515,649159,-,2645,234,101,142,140,166,4,212,192,127,23,34,26,67,72,87,34,163,120,169,12,116,118,249,139
LOC104829878,NW_010972613.1,650263,651944,+,1682,11,28,4,6,5,0,24,12,20,11,0,1,2,12,3,3,22,9,18,3,1,13,26,14
LOC104829879,NW_010972613.1,655331,660595,-,5265,41,125,29,20,16,0,24,14,36,3,6,2,19,11,19,2,27,24,35,4,10,35,58,23
CEND1,NW_010972613.1,683499,684273,+,775,7,26,2,3,4,0,1,4,1,1,0,0,1,0,2,0,4,1,4,0,2,2,4,4
PDDC1,NW_010972613.1,697224,703430,+,6207,73,102,66,67,106,2,60,57,24,7,25,8,24,15,18,4,22,6,45,5,38,23,31,13
TALDO1,NW_010972613.1,712105,720105,-,8001,565,181,441,470,353,6,403,261,128,35,33,30,122,54,186,35,128,60,273,4,130,182,441,123
EPS8L2,NW_010972613.1,721788,765089,-,43302,98,1033,57,30,40,0,35,37,34,6,13,12,11,18,26,8,59,20,43,4,35,64,61,19
TMEM80,NW_010972613.1,793332,801297,-,7966,259,181,172,214,268,2,199,248,151,22,65,38,95,55,120,58,150,153,192,13,154,143,286,204
DEAF1,NW_010972613.1,801937,827682,+,25746,637,501,480,566,541,13,552,641,330,82,123,48,239,138,289,99,320,293,500,32,275,362,688,386
DRD4,NW_010972613.1,831111,845436,-,14326,90,341,34,42,43,0,22,55,37,12,6,7,24,18,18,7,30,32,43,11,32,50,55,23
LOC104829881,NW_010972613.1,860145,864262,+,4118,7,110,4,1,1,0,3,0,0,0,2,1,1,2,1,0,3,2,3,0,2,4,4,1
CDHR5,NW_010972613.1,866632,880844,+,14213,27,356,11,11,5,0,6,7,10,3,3,1,2,2,5,2,16,8,7,1,5,17,16,2
BUB1B,NW_010972613.1,887578,938138,+,50561,169,882,105,71,125,3,89,85,84,12,36,10,27,24,65,20,96,70,105,8,74,61,101,59
PAK6,NW_010972613.1,948809,964491,+,15683,67,321,36,26,39,0,30,26,29,1,19,5,15,9,24,14,56,49,39,1,32,22,32,34
PLCB2,NW_010972613.1,974858,1021267,-,46410,6214,1542,4333,4918,5819,74,4310,5268,3841,763,1060,437,2466,1544,3440,1556,5127,4523,4991,486,3151,2663,6671,4391
DISP2,NW_010972613.1,1120683,1132587,+,11905,31,211,16,17,16,0,9,11,13,3,8,5,4,7,18,3,30,26,14,2,14,15,20,15
KNSTRN,NW_010972613.1,1134046,1139333,+,5288,93,145,51,32,42,0,22,46,28,9,27,5,18,12,25,13,47,41,20,4,24,26,63,37
IVD,NW_010972613.1,1139890,1156926,+,17037,277,356,196,181,168,2,145,148,144,30,89,33,75,71,147,48,291,171,226,16,215,152,234,183
BAHD1,NW_010972613.1,1212759,1225810,+,13052,705,287,312,376,509,12,431,558,395,68,119,37,242,164,220,98,436,342,467,35,392,291,437,338
CHST14,NW_010972613.1,1243492,1245089,+,1598,174,50,127,156,220,3,214,191,132,31,39,17,75,60,102,42,142,93,183,19,126,117,159,135
LOC104829886,NW_010972613.1,1282019,1283138,-,1120,6,38,11,12,2,0,6,12,7,0,1,2,1,5,3,2,0,1,8,0,5,6,19,2
LOC104829837,NW_010972613.1,1294742,1300232,-,5491,515,147,346,369,598,6,392,432,360,77,113,57,217,170,271,107,475,395,424,29,291,248,440,299
LOC104829838,NW_010972613.1,1300286,1305927,+,5642,2404,213,1879,1785,3359,43,2084,2632,1595,331,765,287,851,601,1144,565,2250,2039,2175,217,1467,991,1897,1718
RPUSD2,NW_010972613.1,1306481,1310643,+,4163,1259,185,935,1014,1828,33,993,1244,884,196,383,175,461,359,572,270,1199,1160,1246,126,767,517,1078,818
TRNAS-GCU,NW_010972613.1,1313796,1313877,-,82,5,9,5,0,3,1,0,2,4,0,2,1,3,4,1,3,6,3,4,0,1,4,1,1
CASC5,NW_010972613.1,1315447,1344293,+,28847,1017,462,647,604,927,3,552,776,484,89,286,81,352,228,327,160,610,545,698,51,432,314,654,431
RAD51,NW_010972613.1,1350402,1361853,+,11452,65,204,16,24,23,0,31,24,12,4,9,0,15,8,17,5,36,21,27,0,10,25,20,18
LOC104829887,NW_010972613.1,1375363,1380430,+,5068,10,101,3,3,3,0,1,2,1,1,0,0,2,0,2,0,10,2,1,1,3,5,2,3
RMDN3,NW_010972613.1,1388031,1427724,-,39694,5961,937,5386,5979,6678,99,4917,5944,3839,697,1478,550,3589,2107,4744,1829,6454,5372,6297,601,4488,3324,6495,4460
GCHFR,NW_010972613.1,1436072,1442022,+,5951,152,165,109,259,71,6,230,204,99,33,24,29,69,82,135,27,108,85,189,16,72,233,435,101
DNAJC17,NW_010972613.1,1442112,1459390,-,17279,855,430,638,791,908,18,647,774,518,103,279,93,371,225,486,177,655,634,689,51,402,376,796,546
RASGEF1B,NW_010972614.1,166377,184068,+,17692,47,310,54,262,5,0,39,21,21,9,3,2,3,5,25,5,28,10,20,3,10,67,55,5
PRKG2,NW_010972614.1,211744,244698,+,32955,251,625,148,148,45,1,21,43,44,7,15,5,7,15,65,27,153,120,36,4,20,39,149,102
LOC104829892,NW_010972614.1,275094,291594,-,16501,18666,1679,13507,13827,20972,298,14756,17312,11698,2421,5486,1807,8340,5930,8590,4201,17394,15322,15751,1401,10724,7152,14147,11096
ENOPH1,NW_010972614.1,292150,299004,+,6855,256,105,170,189,270,0,150,164,163,26,95,32,110,65,138,51,259,264,226,17,137,92,243,182
LOC104829895,NW_010972614.1,294008,295830,-,1823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMEM150C,NW_010972614.1,302541,328128,-,25588,8604,944,6277,7193,11555,153,7072,9232,5525,1167,3091,1098,3764,2478,4509,2442,8989,8003,8906,861,5883,3834,8244,6713
SCD5,NW_010972614.1,339110,373574,-,34465,956,877,672,826,984,10,609,718,514,87,361,146,671,444,465,185,658,553,669,69,561,367,1010,784
SEC31A,NW_010972614.1,383043,428552,-,45510,3734,1136,2863,2999,3809,57,2848,3434,2370,429,1049,386,1558,1063,1993,969,3967,3178,3089,286,2151,1719,2652,2300
THAP9,NW_010972614.1,429504,434457,+,4954,1137,162,825,888,1124,23,929,1114,740,146,338,129,540,290,608,299,1122,1076,908,85,661,469,763,776
LIN54,NW_010972614.1,440173,478892,-,38720,5692,821,5556,6692,7213,89,4768,5636,4153,778,1539,551,3052,1917,4587,1727,6900,6150,6151,510,4137,3128,5828,4137
COPS4,NW_010972614.1,478560,488948,+,10389,1417,231,878,933,1371,8,776,933,671,149,383,121,503,279,719,321,1489,1088,994,73,831,486,742,855
ARHGAP24,NW_010972614.1,621337,810520,+,189184,1033,3729,780,1241,204,23,1075,979,758,230,80,113,522,544,706,50,427,201,1316,121,252,934,1846,279
MAPK10,NW_010972614.1,953266,1039322,+,86057,223,1458,113,57,60,3,61,57,47,13,31,8,38,18,44,21,141,57,58,3,46,74,75,43
PTPN13,NW_010972614.1,1096422,1195868,+,99447,252,1767,143,79,56,6,91,69,71,18,37,11,24,30,49,9,154,70,98,9,40,116,121,46
AFF1,NW_010972614.1,1223631,1338707,+,115077,10628,2963,9800,12430,12928,198,10010,12335,8051,1667,2800,934,5867,4032,7912,3196,9814,8455,12469,1154,8612,7777,9488,6786
KLHL8,NW_010972614.1,1349877,1364224,-,14348,386,295,275,423,217,6,276,252,200,48,57,34,131,136,150,39,165,158,266,25,145,246,412,141
SALL3,NW_010972615.1,470,22038,-,21569,35,426,28,10,17,0,10,11,13,3,1,1,1,4,7,6,26,16,11,2,16,19,6,8
KIAA0319,NW_010972615.1,829924,864080,+,34157,54,680,44,10,17,0,9,16,18,4,9,4,5,5,17,3,26,15,15,1,8,29,20,17
ALDH5A1,NW_010972615.1,873538,882034,-,8497,63,148,45,32,39,0,18,34,25,2,4,2,17,9,31,3,39,17,37,3,26,20,36,14
GPLD1,NW_010972615.1,883104,906637,+,23534,80,458,64,91,42,0,56,60,58,10,14,1,27,21,21,4,58,20,72,7,28,50,62,26
MRS2,NW_010972615.1,908080,928419,-,20340,688,392,781,765,909,17,377,430,353,83,123,44,355,200,316,141,598,408,544,48,400,297,506,472
DCDC2,NW_010972615.1,929298,996294,+,66997,185,1204,78,37,54,1,43,57,43,7,26,3,12,16,30,8,117,41,45,4,31,44,52,20
NRSN1,NW_010972615.1,1010966,1018749,-,7784,16,119,9,3,2,0,4,2,4,1,2,0,1,3,1,0,9,5,5,0,1,4,4,8
LOC104829915,NW_010972616.1,7623,8177,+,555,1,1,7,5,0,0,3,1,1,1,0,0,3,3,0,0,1,5,1,2,0,3,3,0
PTPLAD2,NW_010972616.1,18131,51727,+,33597,595,216,1266,1869,788,36,1482,1108,610,209,76,95,508,428,382,81,356,238,1236,129,336,778,1163,278
FOCAD,NW_010972616.1,34270,163949,-,129680,5230,1126,8392,8722,12619,155,9128,11044,6064,1167,1241,440,5163,3187,3642,1364,4923,3926,11267,1016,3915,3007,4562,3396
MLLT3,NW_010972616.1,186571,321405,+,134835,948,1287,2320,3028,2167,50,2697,2386,1327,358,178,139,936,591,833,143,711,478,2510,176,475,992,2264,410
SLC24A2,NW_010972616.1,475364,585563,+,110200,286,998,539,501,128,11,629,325,217,39,18,33,238,101,168,15,106,37,722,28,96,239,674,61
ACER2,NW_010972616.1,611704,633625,-,21922,801,243,1400,1798,1275,21,1450,1596,790,178,146,101,833,493,481,172,591,489,1455,98,397,433,1246,504
RPS6,NW_010972616.1,633062,638987,+,5926,7421,426,8721,8618,17032,264,9567,11461,8199,1674,2288,775,4687,3529,2870,1568,7622,5769,11604,761,4648,2775,4430,4822
DENND4C,NW_010972616.1,653158,731998,-,78841,1559,768,2065,2626,2489,46,2161,2217,1276,276,291,125,1201,771,852,273,962,864,2667,211,872,1034,2161,1091
PLIN2,NW_010972616.1,764594,777906,+,13313,1870,156,2154,2696,2743,42,2142,2879,1560,388,317,131,1315,938,704,316,1246,932,2434,211,951,1051,1101,871
HAUS6,NW_010972616.1,779785,798571,+,18787,2022,258,3102,3710,5137,67,2929,3989,2287,492,514,186,1780,1068,1060,483,1639,1563,3753,357,1337,1111,2021,1464
FAM154A,NW_010972616.1,829270,837882,+,8613,33,100,52,71,46,0,48,53,32,6,9,6,46,30,13,2,29,31,64,2,34,17,17,7
ADAMTSL1,NW_010972616.1,850670,1028432,-,177763,187,1635,208,152,106,0,65,107,108,25,34,5,25,31,25,12,122,50,116,5,36,73,48,38
LOC104829928,NW_010972617.1,120772,125308,-,4537,42,69,16,30,46,1,34,46,25,8,4,1,5,16,11,9,25,34,40,3,14,15,57,26
SCLT1,NW_010972617.1,129585,176328,+,46744,1744,792,1111,1119,1009,11,891,1072,1022,163,519,136,876,477,752,314,1416,1277,1094,68,944,654,1437,995
JADE1,NW_010972617.1,176340,224931,-,48592,28450,2072,24953,26956,35860,496,29233,37147,22306,4528,9555,2951,17061,10378,15768,7340,29713,27130,30224,2795,21514,14233,27144,19158
LARP1B,NW_010972617.1,368321,402908,-,34588,35256,2530,30197,32080,52926,608,31947,40540,25245,4863,10152,3118,18180,11042,23255,9653,36026,31700,43484,3518,27744,17425,33967,26725
LOC104829932,NW_010972617.1,406344,428171,-,21828,2009,385,1576,2454,2715,39,1718,2130,1422,307,425,153,935,543,1048,479,1321,1205,2093,144,1228,1024,1900,1356
MFSD8,NW_010972617.1,431649,442772,+,11124,1542,183,1411,1440,2118,28,1433,1848,1032,197,404,138,750,441,889,372,1218,1059,1746,132,1015,771,1364,1113
PLK4,NW_010972617.1,446463,463879,-,17417,247,271,217,211,184,4,181,166,179,24,73,14,105,79,83,38,141,109,162,17,126,62,184,110
HSPA4L,NW_010972617.1,484981,511627,-,26647,5047,671,2767,3301,6505,73,2853,3583,2647,554,1267,357,3017,1910,2090,857,3551,3152,4742,390,2983,2092,6200,3317
SLC25A31,NW_010972617.1,514253,524614,-,10362,89,199,46,50,48,0,29,19,21,8,13,2,15,16,20,7,57,46,49,2,34,30,30,28
INTU,NW_010972617.1,526550,578041,-,51492,1127,935,527,757,672,11,509,598,443,96,169,76,349,236,372,156,554,548,623,63,403,456,977,671
ERGIC3,NW_010972618.1,1997,26579,+,24583,6051,3050,4455,3993,4358,56,5344,5320,3521,638,1255,478,2159,1355,2780,1079,4593,3148,4883,445,4427,3353,4225,4261
LOC104829940,NW_010972618.1,28250,30945,-,2696,37,94,44,46,22,3,37,19,27,5,2,4,12,16,18,7,18,8,25,5,11,17,69,15
LOC104829939,NW_010972618.1,34130,63418,-,29289,220,856,99,87,156,2,94,129,148,26,96,21,130,67,129,70,232,262,128,11,169,147,249,180
LOC104829944,NW_010972618.1,64640,112069,-,47430,1126,1129,590,590,1038,12,621,763,727,131,394,116,531,349,566,322,1318,1140,874,100,794,504,992,895
CPNE1,NW_010972618.1,115008,158821,-,43814,6374,896,4581,4862,6404,87,4313,5353,3811,738,1856,605,2618,1700,3401,1458,6317,5272,6267,577,4200,2901,5917,4359
RBM12,NW_010972618.1,149646,161767,-,12122,459,58,423,349,445,6,357,361,354,54,145,46,194,130,318,114,504,361,479,49,325,213,313,267
NFS1,NW_010972618.1,167511,180017,-,12507,2751,401,1747,1662,2801,42,1917,2279,1532,314,775,238,1032,615,1213,625,2251,2040,2101,154,1557,1048,1547,1693
ROMO1,NW_010972618.1,180088,182775,+,2688,286,92,182,216,337,8,255,306,208,39,111,34,142,107,170,102,342,322,280,20,232,128,225,231
RBM39,NW_010972618.1,184941,218855,-,33915,22169,1590,18171,18460,24751,281,16988,20991,14479,2749,6671,1986,10098,6237,11549,4947,21347,18468,21545,1900,13639,9773,18648,13698
TRNAE-UUC,NW_010972618.1,221874,221945,-,72,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
LOC104829948,NW_010972618.1,246749,287777,+,41029,1740,1077,1135,1384,1809,30,1765,1847,949,228,333,187,593,478,728,250,1260,912,1680,133,1319,1178,1872,1112
PHF20,NW_010972618.1,296266,369962,+,73697,9752,1786,7080,6818,8890,124,6379,7814,5803,984,2954,879,3952,2284,4842,1971,8731,7395,8210,699,5797,4370,8198,5945
SLA2,NW_010972618.1,374746,377279,-,2534,26,65,18,21,18,0,57,22,25,5,1,6,17,24,21,8,17,24,50,3,14,46,76,16
NDRG3,NW_010972618.1,381215,445827,-,64613,5838,1496,4799,5414,6665,86,4644,5833,3745,717,1421,547,3154,1930,4341,1753,6276,5179,6522,626,4247,3327,5444,4260
RALGAPB,NW_010972618.1,464738,529512,+,64775,11158,1727,7843,8019,11543,157,7840,9757,6514,1214,3157,1020,4577,2626,5317,2250,10167,8472,9359,712,6681,4754,8909,6731
CHD6,NW_010972618.1,588036,649684,+,61649,4434,2018,2634,2713,3923,62,3822,3711,2673,600,834,406,1582,1167,1876,782,2843,2318,4228,381,2830,2415,3648,2604
